Batch	m_SP	12	N7a_L	N1b	N1c	N1a	N_2	N3	N4	N5	N6	Flvln	Nphln	Azln																					
1.244483e-11	1.0000000538	0.1	1.244483e-11	0.0	0.1	1.244483e-11	0.0	0.1	1.244483e-11	0.0	0.1	1.244483e-11	0.0	0.1	1.244483e-11	0.0	0.1	1.244483e-11	0.0	0.1	1.244483e-11	0.0	0.1	1.244483e-11	0.0	0.1	1.244483e-11	0.0	0.1	1.244483e-11	0.0	0.1	1.244483e-11	0.0	0.1
1.28231e-11	1.0000000385	0.1	1.28231e-11	0.0	0.1	1.28231e-11	0.0	0.1	1.28231e-11	0.0	0.1	1.28231e-11	0.0	0.1	1.28231e-11	0.0	0.1	1.28231e-11	0.0	0.1	1.28231e-11	0.0	0.1	1.28231e-11	0.0	0.1	1.28231e-11	0.0	0.1	1.28231e-11	0.0	0.1	1.28231e-11	0.0	0.1
1.320136e-11	0.9999999955000001	0.1	1.320136e-11	0.0	0.1	1.320136e-11	0.0	0.1	1.320136e-11	0.0	0.1	1.320136e-11	0.0	0.1	1.320136e-11	0.0	0.1	1.320136e-11	0.0	0.1	1.320136e-11	0.0	0.1	1.320136e-11	0.0	0.1	1.320136e-11	0.0	0.1	1.320136e-11	0.0	0.1	1.320136e-11	0.0	0.1
1.364126e-11	0.9999999697999999	0.1	1.364126e-11	0.0	0.1	1.364126e-11	0.0	0.1	1.364126e-11	0.0	0.1	1.364126e-11	0.0	0.1	1.364126e-11	0.0	0.1	1.364126e-11	0.0	0.1	1.364126e-11	0.0	0.1	1.364126e-11	0.0	0.1	1.364126e-11	0.0	0.1	1.364126e-11	0.0	0.1	1.364126e-11	0.0	0.1
1.409656e-11	0.9999999677	0.1	1.409656e-11	0.0	0.1	1.409656e-11	0.0	0.1	1.409656e-11	0.0	0.1	1.409656e-11	0.0	0.1	1.409656e-11	0.0	0.1	1.409656e-11	0.0	0.1	1.409656e-11	0.0	0.1	1.409656e-11	0.0	0.1	1.409656e-11	0.0	0.1	1.409656e-11	0.0	0.1	1.409656e-11	0.0	0.1
1.455187e-11	1.0000000393	0.1	1.455187e-11	0.0	0.1	1.455187e-11	0.0	0.1	1.455187e-11	0.0	0.1	1.455187e-11	0.0	0.1	1.455187e-11	0.0	0.1	1.455187e-11	0.0	0.1	1.455187e-11	0.0	0.1	1.455187e-11	0.0	0.1	1.455187e-11	0.0	0.1	1.455187e-11	0.0	0.1	1.455187e-11	0.0	0.1
1.500717e-11	0.99999996104	0.1	1.500717e-11	0.0	0.1	1.500717e-11	0.0	0.1	1.500717e-11	0.0	0.1	1.500717e-11	0.0	0.1	1.500717e-11	0.0	0.1	1.500717e-11	0.0	0.1	1.500717e-11	0.0	0.1	1.500717e-11	0.0	0.1	1.500717e-11	0.0	0.1	1.500717e-11	0.0	0.1	1.500717e-11	0.0	0.1
1.551735e-11	1.00000000607	0.1	1.551735e-11	0.0	0.1	1.551735e-11	0.0	0.1	1.551735e-11	0.0	0.1	1.551735e-11	0.0	0.1	1.551735e-11	0.0	0.1	1.551735e-11	0.0	0.1	1.551735e-11	0.0	0.1	1.551735e-11	0.0	0.1	1.551735e-11	0.0	0.1	1.551735e-11	0.0	0.1	1.551735e-11	0.0	0.1
1.606411e-11	1.00000000893	0.1	1.606411e-11	0.0	0.1	1.606411e-11	0.0	0.1	1.606411e-11	0.0	0.1	1.606411e-11	0.0	0.1	1.606411e-11	0.0	0.1	1.606411e-11	0.0	0.1	1.606411e-11	0.0	0.1	1.606411e-11	0.0	0.1	1.606411e-11	0.0	0.1	1.606411e-11	0.0	0.1	1.606411e-11	0.0	0.1
1.661087e-11	0.99999992131	0.1	1.661087e-11	0.0	0.1	1.661087e-11	0.0	0.1	1.661087e-11	0.0	0.1	1.661087e-11	0.0	0.1	1.661087e-11	0.0	0.1	1.661087e-11	0.0	0.1	1.661087e-11	0.0	0.1	1.661087e-11	0.0	0.1	1.661087e-11	0.0	0.1	1.661087e-11	0.0	0.1	1.661087e-11	0.0	0.1
1.715763e-11	0.9999999886100001	0.1	1.715763e-11	0.0	0.1	1.715763e-11	0.0	0.1	1.715763e-11	0.0	0.1	1.715763e-11	0.0	0.1	1.715763e-11	0.0	0.1	1.715763e-11	0.0	0.1	1.715763e-11	0.0	0.1	1.715763e-11	0.0	0.1	1.715763e-11	0.0	0.1	1.715763e-11	0.0	0.1	1.715763e-11	0.0	0.1
1.781775e-11	0.99999998056	0.1	1.781775e-11	0.0	0.1	1.781775e-11	0.0	0.1	1.781775e-11	0.0	0.1	1.781775e-11	0.0	0.1	1.781775e-11	0.0	0.1	1.781775e-11	0.0	0.1	1.781775e-11	0.0	0.1	1.781775e-11	0.0	0.1	1.781775e-11	0.0	0.1	1.781775e-11	0.0	0.1	1.781775e-11	0.0	0.1
1.847786e-11	1.00000000275	0.1	1.847786e-11	0.0	0.1	1.847786e-11	0.0	0.1	1.847786e-11	0.0	0.1	1.847786e-11	0.0	0.1	1.847786e-11	0.0	0.1	1.847786e-11	0.0	0.1	1.847786e-11	0.0	0.1	1.847786e-11	0.0	0.1	1.847786e-11	0.0	0.1	1.847786e-11	0.0	0.1	1.847786e-11	0.0	0.1
